description,FaceValue,Products
"Save $2.00 ONE Downy Liquid Fabric Conditioner 72 ld or larger (includes Downy Odor Protect 48 oz or larger OR Downy Wrinkle Guard 40 oz or larger OR Downy Nature Blends 67 oz or larger) OR Bounce/Downy Sheets 130 ct or larger (includes Bounce/Downy Wrinkle Guard 80 ct or larger) OR In Wash Scent Boosters 8.6 oz or larger (includes Downy Unstopables, Fresh Protect, Odor Protect, and Infusions) (excludes Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$2.00,"Fresh Protect, Downy Nature Blends, Bounce/Downy Wrinkle Guard, Downy Unstopables, Odor Protect, Downy Libre Enjuague, Downy Odor Protect, Downy Wrinkle Guard, Bounce/Downy Sheets, In Wash Scent Boosters, Wash Scent Boosters, Gain, Gain Fireworks, Downy Liquid Fabric Conditioner, Infusions, larger, trial/travel size"
"Save $2.00 ONE Tide PODS OR Tide Power PODS (excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, and Tide PODS 9 ct and below, and trial/travel size).",$2.00,"Powder Laundry Detergent, Tide Simply PODS, Tide Liquid, Laundry Detergent, Tide, Tide Power PODS, Tide PODS, Tide Simply, Tide Liquid/Powder Laundry Detergent, Tide Liquid/Powder, trial/travel size"
"Save $2.00 ONE Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size).",$2.00,"Tide Simply PODS, Tide Purclean Laundry Detergent, Laundry Detergent, Tide Laundry Detergent, Studio by Tide Laundry Detergent, Tide, Tide detergent, Tide Rescue, Tide PODS, Tide Simply Laundry Detergent, Tide Simply, trial/travel size"
SAVE $1.00 ON TWO when you buy TWO BOXES (8.9 - 15.2 OZ. EXCLUDES LARGE SIZE) any flavor/variety General Mills cereal listed: *,$1.00,General Mills cereal
"$3.00 OFF when you purchase any THREE (3) Pepperidge Farm® Farmhouse buns, bread, or cookies",$3.00,"bread, cookies, Pepperidge Farm®, Farmhouse buns"
"SAVE $1.11 when you buy any ONE (1) Familly Size OREO, CHIPS AHOY! or NUTTER BUTTER Cookies (12.1 - 20 oz.)",$1.11,"cookies, NUTTER BUTTER Cookies, Familly Size OREO, CHIPS AHOY!"
"SAVE $1.00 ON TWO when you buy TWO PACKAGES any flavor 5 COUNT OR LARGER Nature Valley™ Granola Bars, Biscuits, *",$1.00,"Biscuits, LARGER Nature Valley™ Granola Bars, Granola, larger"
Save $1.00 on any TWO (2) Sargento® Natural Cheese Slices,$1.00,"Sargento®, Sargento® Natural Cheese Slices"
$0.65 OFF On Any ONE (1) Oikos Greek Yogurt Cup (Excluding Oikos Triple Zero),$0.65,"Oikos Greek Yogurt Cup, Triple Zero, Oikos Triple Zero"
"$2.00 OFF ONE (1) SMALL bag of Eight O'Clock® Coffee, Any variety 10 oz. - 12 oz. (excluding Barista Blends)",$2.00,"Barista Blends, SMALL bag of Eight O'Clock® Coffee"
"Save $0.50 ONE Tide Simply Laundry Detergent 34 oz OR 31 oz OR Tide Simply PODS 13 ct OR Downy Liquid Fabric Conditioner 40 ld OR Bounce/Downy Sheets 40 ct TO 60 ct OR In-Wash Scent Boosters 4.3 oz OR ERA Laundry Detergent 50 oz or smaller (includes Downy Unstopables, Fresh Protect, and Odor Protect) (excludes Bounce/Downy Wrinkle Guard Sheets, Downy Libre Enjuague, Gain Fireworks, and trial/travel size).",$0.50,"Tide Simply PODS, Fresh Protect, Bounce/Downy Wrinkle Guard Sheets, In-Wash Scent Boosters, Bounce/Downy Wrinkle Guard, Laundry Detergent, Downy Unstopables, Tide, Odor Protect, Tide Simply Laundry Detergent, Downy Libre Enjuague, Tide Simply, Downy Wrinkle Guard, Bounce/Downy Sheets, Wash Scent Boosters, Gain, Gain Fireworks, Downy Liquid Fabric Conditioner, ERA Laundry Detergent, trial/travel size"
"SAVE $1.00 ON TWO when you buy TWO BOXES any flavor/variety Betty Crocker™ Fruit Shapes, Fruit by the Foot™, *",$1.00,"Fruit by the Foot™, Betty Crocker™ Fruit Shapes"
$0.50 OFF on ONE (1) Frigo® Cheese Heads® 8ct or larger Snack Cheese Product,$0.50,"Snack Cheese Product, Frigo® Cheese Heads®, larger Snack Cheese, larger"
Save $0.50 off ONE (1) jar of Pace® Salsa or Picante Sauce,$0.50,"Picante Sauce, jar of Pace® Salsa, jar of Pace® Salsa or Picante Sauce, Salsa"
$1.00 OFF on any THREE (3) noosa® yoghurts,$1.00,"noosa® yoghurts, noosa® Yoghurt"
Save $1.00 on any ONE (1) Gardein™ Frozen Item,$1.00,Gardein™ Frozen Item
"Save $1.00 ONE Gain Flings 12 ct TO 26 ct OR Gain Liquid Laundry Detergent (Includes Gain Botanicals and Gain Essential Oils) OR Gain Powder Laundry Detergent (excludes Gain Ultra Flings, Gain Fabric Enhancers, Gain Fireworks, Gain Flings 9 ct and trial/travel size).",$1.00,"Powder Laundry Detergent, Gain Botanicals, Gain Fabric Enhancers, Gain Ultra Flings, Gain Liquid, Laundry Detergent, Gain Flings, Gain Essential Oils, Gain Liquid Laundry Detergent, Gain Powder Laundry Detergent, Gain, Gain Fireworks, Ultra, trial/travel size"
Save $0.50 on any ONE (1) pack of Energizer® Batteries,$0.50,"Energizer® Batteries, pack of Energizer® Batteries"
"SAVE $2.00 on TWO (2) Purina® Beggin®, Busy® or DentaLife® Dog Treats or Chews, any size, any variety",$2.00,"Chews, Purina® Beggin®, Treats, DentaLife® Dog Treats, Busy® or DentaLife® Dog Treats, Purina®, Busy®, Dog Treats, DentaLife®"
"Save $0.50 on any one (1) Pine-Sol® product, 40oz+",$0.50,Pine-Sol® product
SAVE $1.00 ON ONE when you buy ONE PACKAGE any flavor/variety Cascadian Farm™ Cereal or Granola,$1.00,"Cascadian Farm™ Cereal or Granola, Granola, Cascadian Farm™ Cereal"
